IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.24.241.16,189,189,189,90
104.20.125.83,189,189,189,90
172.67.122.242,189,189,189,90
104.21.199.2,189,189,189,90
104.24.164.47,189,189,189,90
104.17.122.11,189,189,189,90
162.159.252.133,189,189,189,90
104.25.123.254,189,189,189,90
104.24.10.253,189,189,189,90
104.19.86.47,190,190,190,90
104.20.0.62,190,190,190,90
104.24.214.24,190,190,190,90
104.20.254.1,190,190,190,90
198.41.202.253,190,190,190,90
104.25.228.67,190,190,190,90
104.25.124.47,190,190,190,90
198.41.215.22,190,190,190,90
104.27.121.148,190,190,190,90
104.20.190.216,190,190,190,90
104.27.29.214,190,190,190,90
172.67.183.150,190,190,190,90
172.67.177.107,190,190,190,90
172.67.127.131,190,190,190,90
172.67.239.22,191,191,191,90
162.159.45.182,191,191,191,90
104.27.197.146,191,191,191,90
104.20.188.75,191,191,191,90
104.21.10.68,191,191,191,90
104.21.61.58,191,191,191,90
104.19.47.109,191,191,191,90
104.19.31.85,192,192,192,90
104.23.130.102,192,192,192,90
104.20.34.8,192,192,192,90
104.27.21.93,192,192,192,90
104.20.96.179,192,192,192,90
104.19.201.22,192,192,192,90
104.21.126.96,192,192,192,90
172.64.95.179,192,192,192,90
104.23.103.75,192,192,192,90
104.24.86.96,192,192,192,90
172.67.255.85,192,192,192,90
104.20.111.67,193,193,193,90
104.25.66.71,193,193,193,90
104.24.173.67,193,193,193,90
172.67.37.57,193,193,193,90
172.66.1.177,193,193,193,90
104.19.94.221,193,193,193,90
104.20.47.200,193,193,193,90
172.67.30.60,193,193,193,90
104.24.54.179,193,193,193,90
104.23.143.33,193,193,193,90
104.24.139.225,193,193,193,90
104.23.115.169,194,194,194,90
104.23.110.202,195,195,195,90
104.27.47.114,196,196,196,90
104.20.160.104,196,196,196,90
104.25.164.87,196,196,196,90
104.20.180.108,196,196,196,90
162.159.248.95,196,196,196,90
162.159.41.180,197,197,197,90
172.67.57.192,197,197,197,90
104.24.176.231,198,198,198,90
172.67.167.129,198,198,198,90
104.17.247.156,199,199,199,90
104.20.116.153,199,199,199,90
104.24.17.35,199,199,199,90
104.19.84.149,199,199,199,90
172.67.124.188,200,200,200,90
104.17.233.93,200,200,200,90
104.16.10.167,211,211,211,90
162.159.129.22,214,214,214,90
104.17.228.226,214,214,214,90
104.17.237.163,215,215,215,90
104.18.2.104,216,216,216,90
104.16.39.38,218,218,218,90
104.17.248.230,218,218,218,90
104.16.57.132,223,223,223,90
104.18.126.252,224,224,224,90
104.22.52.213,229,229,229,90
172.67.9.249,237,237,237,90
